Robbery	165	September	2007	9/30/2007
Assault	137	September	2007	9/30/2007
Burglary	439	September	2007	9/30/2007
Larceny	889	September	2007	9/30/2007
Motor Vehicle Theft	206	September	2007	9/30/2007
Homicide	7	October	2007	10/31/2007
Rape	14	October	2007	10/31/2007
Robbery	138	October	2007	10/31/2007
Assault	142	October	2007	10/31/2007
Burglary	417	October	2007	10/31/2007
Larceny	836	October	2007	10/31/2007
Motor Vehicle Theft	214	October	2007	10/31/2007
Homicide	3	November	2007	11/30/2007
Rape	16	November	2007	11/30/2007
Robbery	122	November	2007	11/30/2007
Assault	100	November	2007	11/30/2007
Burglary	368	November	2007	11/30/2007
Larceny	797	November	2007	11/30/2007
Motor Vehicle Theft	179	November	2007	11/30/2007
Homicide	6	December	2007	12/31/2007
Rape	14	December	2007	12/31/2007
Robbery	151	December	2007	12/31/2007
Assault	94	December	2007	12/31/2007
Burglary	332	December	2007	12/31/2007
Larceny	705	December	2007	12/31/2007
Motor Vehicle Theft	218	December	2007	12/31/2007
Homicide	2	January	2008	1/31/2008
Rape	19	January	2008	1/31/2008
Robbery	134	January	2008	1/31/2008
Assault	134	January	2008	1/31/2008
Burglary	317	January	2008	1/31/2008
Larceny	758	January	2008	1/31/2008
Motor Vehicle Theft	215	January	2008	1/31/2008
Homicide	4	February	2008	2/28/2008
Rape	12	February	2008	2/28/2008
Robbery	94	February	2008	2/28/2008
Assault	94	February	2008	2/28/2008
Burglary	227	February	2008	2/28/2008
Larceny	590	February	2008	2/28/2008
Motor Vehicle Theft	117	February	2008	2/28/2008
Homicide	2	March	2008	3/31/2008
Rape	6	March	2008	3/31/2008
Robbery	120	March	2008	3/31/2008
Assault	119	March	2008	3/31/2008
Burglary	267	March	2008	3/31/2008
Larceny	763	March	2008	3/31/2008
Motor Vehicle Theft	157	March	2008	3/31/2008
Homicide	3	April	2008	4/30/2008
Rape	11	April	2008	4/30/2008
Robbery	112	April	2008	4/30/2008
Assault	146	April	2008	4/30/2008
Burglary	332	April	2008	4/30/2008
Larceny	829	April	2008	4/30/2008
Motor Vehicle Theft	164	April	2008	4/30/2008
Homicide	1	May	2008	5/31/2008
Rape	13	May	2008	5/31/2008
Robbery	142	May	2008	5/31/2008
Assault	188	May	2008	5/31/2008
Burglary	386	May	2008	5/31/2008
Larceny	857	May	2008	5/31/2008
Motor Vehicle Theft	160	May	2008	5/31/2008
Homicide	6	June	2008	6/30/2008
Rape	20	June	2008	6/30/2008
Robbery	130	June	2008	6/30/2008
